"year","observado","tendencia","estacional","irregular"
1935,9.02186156834517,9.16072565736133,0,-0.138864089016156
1936,9.20901008897683,9.18260704024675,0,0.0264030487300886
1937,9.21859388990516,9.18496828462114,0,0.0336256052840191
1938,9.26687032707927,9.1386570767472,0,0.128213250332076
1939,9.10980360661183,9.15185550256951,0,-0.0420518959576768
1940,9.06784286728331,9.18491871177282,0,-0.117075844489513
1941,9.15268783270933,9.18239779720515,0,-0.0297099644958259
1942,9.32414240453026,9.13838095298845,0,0.18576145154181
1943,8.91827117179558,9.12127500391418,0,-0.203003832118606
1944,9.39437984264073,9.0857788875546,0,0.308600955086131
1945,9.35064222962353,9.0678542157309,0,0.282788013892636
1946,8.99413150810083,9.08748019151078,0,-0.093348683409948
1947,8.72482480259309,9.12810796959396,0,-0.403283167000872
1948,9.03042845008823,9.13362331007889,0,-0.103194859990662
1949,8.87641304712388,9.16236563164118,0,-0.285952584517297
1950,8.91263221655111,9.15933647497648,0,-0.246704258425362
1951,9.28372860086202,9.14948312198591,0,0.13424547887611
1952,9.59959339162427,9.16382355988781,0,0.43576983173646
1953,9.38481114986453,9.21988848646577,0,0.164922663398757
1954,9.23443670898078,9.21984556784118,0,0.0145911411395989
1955,9.36105911932894,9.24739832340358,0,0.113660795925359
1956,9.24225534672734,9.25323301122091,0,-0.0109776644935682
1957,9.15187632502174,9.22369999982139,0,-0.0718236747996492
1958,9.34153899495061,9.15348910423023,0,0.188049890720379
1959,9.02995634521777,9.11561546414794,0,-0.0856591189301756
1960,9.17949335831024,9.10099544624206,0,0.0784979120681797
1961,8.97681378254177,9.08796821255389,0,-0.111154430012125
1962,8.95886547546728,9.06718061244287,0,-0.108315136975593
1963,8.82727354012156,9.02766796787972,0,-0.200394427758164
1964,8.96820110895935,8.971723161152,0,-0.00352205219265223
1965,9.07361651201612,8.93804077759841,0,0.135575734417701
1966,9.21775954875901,8.90423725987342,0,0.313522288885585
1967,9.01359174550617,8.84279243498425,0,0.170799310521923
1968,8.71723723482705,8.81356996232575,0,-0.0963327274987016
1969,8.7261461209457,8.77339696828561,0,-0.047250847339912
1970,8.65945012612832,8.74691499205125,0,-0.087464865922934
1971,8.80765466333535,8.69110514185913,0,0.116549521476211
1972,8.30092070876083,8.65946266736122,0,-0.358541958600391
1973,8.63741827622383,8.63978390893784,0,-0.00236563271400669
1974,8.38537060568002,8.66161302930953,0,-0.276242423629508
1975,8.6768993703814,8.67344077411955,0,0.00345859626184541
1976,8.45970815990281,8.71267918622187,0,-0.252971026319059
1977,8.86969232928192,8.68847806813678,0,0.181214261145143
1978,8.79712540284897,8.72909151573768,0,0.0680338871112873
1979,8.95735755891565,8.73488824529645,0,0.222469313619198
1980,8.856251313856,8.74931973992285,0,0.106931573933146
1981,9.09107265925381,8.73562690678542,0,0.355445752468395
1982,8.54144236439934,8.7886058770437,0,-0.247163512644358
1983,8.74766863237071,8.80246702597034,0,-0.054798393599631
1984,8.70118230137035,8.80628966137687,0,-0.105107360006523
1985,8.54411704657037,8.78000506560619,0,-0.235888019035823
1986,8.52627820586962,8.75952880695215,0,-0.233250601082528
1987,9.04247683274392,8.71987639359808,0,0.322600439145839
1988,9.02216496747501,8.73391539160741,0,0.288249575867605
1989,8.83917439232084,8.72405948345097,0,0.115114908869868
1990,8.66822700543813,8.75695728432595,0,-0.088730278887823
1991,8.63101246866154,8.82114452955038,0,-0.190132060888839
1992,8.65489611235906,8.90829490652751,0,-0.253398794168442
1993,8.69587134250192,8.96089894636985,0,-0.265027603867935
1994,8.63925364264992,8.98364287767811,0,-0.344389235028192
1995,9.06305811099514,9.02153157732798,0,0.0415265336671542
1996,9.25017674403909,9.09307393530879,0,0.157102808730302
1997,9.48493235261799,9.14344747266509,0,0.341484879952894
1998,9.62112127100971,9.21632536006469,0,0.404795910945023
1999,9.27234821186589,9.28629814686079,0,-0.0139499349949084
2000,9.25595008846943,9.38670268422318,0,-0.130752595753743
2001,9.45519294322703,9.4505738194212,0,0.00461912380582419
2002,9.18512137958085,9.48909253268706,0,-0.303971153106211
2003,9.45655287375457,9.4934619667632,0,-0.0369090930086209
2004,9.46557199725912,9.45492796257011,0,0.01064403468901
2005,9.74370355363611,9.50663655775556,0,0.237066995880557
2006,9.76564059817343,9.50976209935443,0,0.255878498819008
2007,9.67388258996352,9.53374306982053,0,0.140139520142988
2008,9.53299612745548,9.55650561448618,0,-0.0235094870306956
2009,9.1972472248858,9.53403618459672,0,-0.336788959710926
2010,9.84114275890577,9.4608376847644,0,0.380305074141368
2011,9.29033104605696,9.40476235768821,0,-0.11443131163125
2012,9.71898361835421,9.36339969073243,0,0.35558392762178
2013,9.43550937090296,9.29853535124954,0,0.136974019653422
2014,9.20938914497057,9.28341778017842,0,-0.0740286352078456
2015,8.66038849910363,9.28959312021973,0,-0.629204621116104
2016,9.12687495579796,9.25743577121689,0,-0.13056081541893
2017,9.31065126165987,9.28512689775928,0,0.0255243639005904
2018,8.96037485565168,9.29363613225592,0,-0.333261276604242
2019,9.36670284567321,9.32947374176029,0,0.0372291039129191
2020,9.26517596534022,9.35243755289334,0,-0.0872615875531153
2021,9.48741191987451,NA,0,NA
2022,9.59493343802327,NA,0,NA
2023,9.81258519781726,NA,0,NA
2024,9.829723075451,NA,0,NA
2025,9.46199106743411,NA,0,NA
